Feature,Mean Absolute SHAP Value
blood_sugar_mg_dl,0.10377785663298077
cholesterol_mg_dl,0.0886814367224061
age,0.07362155604418653
bmi,0.05753697497390559
systolic_bp,0.04396840579483723
age_group_65+,0.019667319236626377
bmi_category_Obese,0.012922878065670834
age_group_18-35,0.012663820469892447
age_group_51-65,0.010230773112406793
bmi_category_Normal,0.00985269799111426
age_group_Under 18,0.008254827723996693
bmi_category_Underweight,0.00747189193131297
bp_category_Hypertension,0.0072848910887243195
diagnosis_Diabetes,0.00709845621957596
bp_category_Normal,0.006177066513669912
