Model,Class,Precision,Recall,F1,Support
Logistic Regression,Low,0.76,0.7307692307692307,0.7450980392156863,26
Logistic Regression,Medium,0.8043478260869565,0.7872340425531915,0.7956989247311828,94
Logistic Regression,High,0.8313253012048193,0.8625,0.8466257668711656,80
Decision Tree,Low,0.5882352941176471,0.38461538461538464,0.46511627906976744,26
Decision Tree,Medium,0.6391752577319587,0.6595744680851063,0.6492146596858639,94
Decision Tree,High,0.7093023255813954,0.7625,0.7349397590361446,80
Random Forest,Low,0.8421052631578947,0.6153846153846154,0.7111111111111111,26
Random Forest,Medium,0.7676767676767676,0.8085106382978723,0.7875647668393783,94
Random Forest,High,0.8170731707317073,0.8375,0.8271604938271605,80
SVM,Low,0.7241379310344828,0.8076923076923077,0.7636363636363637,26
SVM,Medium,0.8131868131868132,0.7872340425531915,0.8,94
SVM,High,0.85,0.85,0.85,80
XGBoost,Low,0.6666666666666666,0.6923076923076923,0.6792452830188679,26
XGBoost,Medium,0.7582417582417582,0.7340425531914894,0.745945945945946,94
XGBoost,High,0.8048780487804879,0.825,0.8148148148148148,80
